Project;Release;Class;Size(LOC);LOC_Touched;NR;NFix;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;Weighted_Age;Actual_Defective
BOOKKEEPER;1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/MySqlClient.java;137;243;4;0;2;138;137;69;137;137;34;475;207;118;33;0.13580246913580246;NO
BOOKKEEPER;1;bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/TestClient.java;244;349;5;0;2;253;252;126;244;252;48;475;207;118;33;0.09455587392550144;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java;1026;1246;14;0;3;1026;545;102;1026;545;73;708;207;54;34;0.027287319422150885;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BookieException.java;92;121;3;0;3;92;81;46;92;81;30;517;207;129;32;0.2644628099173554;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java;180;195;4;0;2;180;168;60;180;168;45;495;207;99;33;0.16923076923076924;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/EntryLogger.java;471;673;9;0;3;511;487;85;471;487;52;662;207;73;37;0.0549777117384844;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java;204;210;5;0;3;204;124;51;204;124;40;595;207;99;33;0.15714285714285714;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerCache.java;551;624;7;0;3;554;536;138;551;536;78;659;207;94;34;0.05448717948717949;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerDescriptor.java;149;168;5;0;3;149;133;49;149;133;29;649;207;108;33;0.19642857142857142;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java;157;164;3;0;3;157;151;78;157;151;52;529;207;132;33;0.20121951219512196;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java;147;147;1;0;1;147;147;147;147;147;147;319;207;159;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/AsyncCallback.java;137;264;5;0;3;139;126;69;137;126;27;520;207;86;34;0.12878787878787878;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BKException.java;271;280;4;0;3;271;249;90;271;249;67;524;207;104;32;0.11428571428571428;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookieWatcher.java;205;212;4;0;2;205;204;102;205;204;51;590;207;118;33;0.15566037735849056;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeper.java;548;1046;9;0;3;548;410;68;548;410;60;712;207;71;34;0.032504780114722756;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java;728;1007;6;0;2;805;714;161;728;714;121;718;207;65;4;0.003972194637537239;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java;50;53;2;0;2;50;50;50;50;50;25;490;207;163;22;0.41509433962264153;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DigestManager.java;185;207;5;0;3;185;184;92;185;184;37;606;207;101;33;0.15942028985507245;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java;61;66;3;0;3;61;61;61;61;61;20;508;207;127;30;0.45454545454545453;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerCreateOp.java;157;222;8;0;3;169;167;56;157;167;19;694;207;77;34;0.15315315315315314;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerDeleteOp.java;81;92;4;0;3;81;80;40;81;80;20;616;207;123;34;0.3695652173913043;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java;84;130;3;0;2;84;83;42;84;83;28;583;207;145;33;0.25384615384615383;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java;762;1479;12;0;3;766;547;95;762;547;63;729;207;56;34;0.022988505747126436;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java;248;291;7;0;3;250;198;50;248;198;35;623;207;89;34;0.11683848797250859;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java;169;233;9;0;3;170;140;34;169;140;18;701;207;70;34;0.1459227467811159;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java;196;224;6;0;3;196;178;39;196;178;32;625;207;89;33;0.14732142857142858;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java;67;76;4;0;3;67;67;67;67;67;16;512;207;102;30;0.39473684210526316;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java;165;182;4;0;3;165;138;55;165;138;41;610;207;122;33;0.1813186813186813;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java;173;193;4;0;3;173;170;57;173;170;43;610;207;122;33;0.17098445595854922;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java;103;129;6;0;2;105;101;35;103;101;17;298;171;74;16;0.12403100775193798;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java;78;78;1;0;1;78;78;78;78;78;78;27;27;27;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java;87;88;2;0;2;87;87;87;87;87;43;490;207;163;22;0.25;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java;85;86;2;0;2;85;85;85;85;85;42;490;207;163;22;0.2558139534883721;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java;105;106;2;0;1;105;61;52;105;61;52;450;207;112;1;0.009433962264150943;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java;216;224;4;0;2;216;216;216;216;216;54;45;39;11;1;0.004464285714285714;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java;377;397;4;0;2;377;377;377;377;377;94;45;39;11;1;0.0025188916876574307;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java;253;255;2;0;1;253;251;126;253;251;126;37;33;18;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java;193;193;1;0;1;193;193;193;193;193;193;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java;514;514;1;0;1;514;514;514;514;514;514;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java;204;204;1;0;1;204;204;204;204;204;204;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java;144;144;1;0;1;144;144;144;144;144;144;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java;98;98;1;0;1;98;98;98;98;98;98;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java;181;207;7;0;3;185;178;46;181;178;25;654;207;81;33;0.15942028985507245;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java;154;162;4;0;3;154;75;51;154;75;38;524;207;104;32;0.19753086419753085;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java;393;492;11;0;3;396;209;44;393;209;35;698;207;63;34;0.06910569105691057;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java;132;139;3;0;3;132;75;66;132;75;44;523;207;130;34;0.2446043165467626;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java;533;557;8;0;3;534;521;106;533;521;66;663;207;73;33;0.059245960502693;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java;603;685;9;0;3;605;573;86;603;573;67;664;207;66;33;0.04817518248175182;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java;148;148;1;0;1;148;148;148;148;148;148;319;207;159;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java;174;184;3;0;2;174;173;87;174;173;58;583;207;145;33;0.1793478260869565;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java;148;158;3;0;2;148;147;74;148;147;49;583;207;145;33;0.2088607594936709;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java;92;1506;6;0;3;767;763;191;92;763;15;614;207;87;33;0.021912350597609563;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java;234;438;6;0;3;234;209;78;234;209;39;659;207;94;34;0.0776255707762557;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java;54;59;3;0;3;54;54;54;54;54;18;523;207;130;34;0.576271186440678;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java;38;43;2;0;2;38;38;38;38;38;19;490;207;163;22;0.5116279069767442;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java;98;102;2;0;2;98;98;98;98;98;49;490;207;163;22;0.21568627450980393;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java;39;49;3;0;2;39;38;19;39;38;13;583;207;145;33;0.673469387755102;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java;69;123;3;0;3;94;94;94;69;94;23;523;207;130;34;0.2764227642276423;NO
BOOKKEEPER;1;bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java;94;94;1;0;1;94;94;94;94;94;94;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java;261;291;3;0;1;261;246;87;261;246;87;45;39;15;1;0.003436426116838488;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java;90;90;1;0;1;90;90;90;90;90;90;2;2;2;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java;617;645;5;0;2;620;607;155;617;607;123;712;207;71;1;0.0015503875968992248;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java;71;74;4;0;2;71;61;17;71;61;17;157;93;39;14;0.1891891891891892;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java;139;144;4;0;2;139;132;46;139;132;34;372;171;46;4;0.027777777777777776;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/TestFencing.java;345;348;3;0;1;345;343;115;345;343;115;70;39;23;1;0.0028735632183908046;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalAsyncLedgerOpsTest.java;47;47;1;0;1;47;47;47;47;47;47;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieFailureTest.java;47;47;1;0;1;47;47;47;47;47;47;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieReadWriteTest.java;47;47;1;0;1;47;47;47;47;47;47;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalBookieRecoveryTest.java;46;46;1;0;1;46;46;46;46;46;46;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/HierarchicalLedgerDeleteTest.java;47;47;1;0;1;47;47;47;47;47;47;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/LedgerLayoutTest.java;136;136;1;0;1;136;136;136;136;136;136;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/meta/TestLedgerManager.java;261;261;1;0;1;261;261;261;261;261;261;33;33;33;0;0.0;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/proto/TestProtoVersions.java;113;114;2;0;1;113;113;113;113;113;56;34;27;17;2;0.017543859649122806;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;258;278;4;0;3;258;256;86;258;256;64;591;207;118;33;0.11870503597122302;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;257;329;12;0;3;257;176;42;257;176;21;728;207;56;34;0.1033434650455927;NO
BOOKKEEPER;1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;242;275;6;0;3;242;232;60;242;232;40;656;207;93;33;0.12;NO
