Project;Release;Commit;NS;ND;NF;Entropy;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
BOOKKEEPER;1;92e69b331797ea6a4eb4d46b668360e6c7bb9bd4;1;1;2;1.0;0;0;377;YES;3;2;141;47;46.0;47;NO
BOOKKEEPER;1;544f4b5c0480bb383134fe6e26c2fe0e0a6c8b11;2;2;5;20.890.038.287.775.900;1;2;762;NO;3;11;129;43;42.0;43;NO
BOOKKEEPER;1;da088187d80bf0b935aad14c1a4aa73e4920378f;1;2;2;0.0;95;0;466;YES;3;0;117;39;38.0;39;NO
BOOKKEEPER;1;504867718d934b66dfa4df8edc55c9c888aa3d42;1;4;4;2.0;7;0;344;YES;3;8;114;38;37.0;38;NO
BOOKKEEPER;1;924fb834de0ae926ea075385c47dd29f8dd804a3;1;1;1;0.0;3;0;333;YES;3;11;108;14;13.0;14;NO
BOOKKEEPER;1;3af9f38fc3b53c40751904972384ecb9a4e9fb44;1;9;33;29.305.468.329.997.700;2295;163;1004;YES;3;12;108;36;35.0;36;NO
BOOKKEEPER;1;d5d73a8591369458c075034b8111f0dfabc2916d;1;1;2;0.5032583347756457;0;0;377;YES;3;10;105;19;18.0;19;NO
BOOKKEEPER;1;aed845b574b88abc825634d3c860dcfd40351fb8;1;1;1;0.0;12;0;378;NO;3;0;96;32;31.0;32;NO
BOOKKEEPER;1;d33f843a67ad8bc73367259c78170c0bfab24cdc;1;1;2;0.9366673818775626;0;0;377;YES;3;0;93;31;30.0;31;NO
BOOKKEEPER;1;4afc000c193174857925f357a32950ab743490bc;1;3;3;0.8112781244591328;231;0;188;YES;3;0;90;30;29.0;30;NO
BOOKKEEPER;1;4049d4c2b115f81008ef7a3920fd9153ced2f53c;3;12;39;42.285.976.957.714.900;1054;18;1040;NO;3;8;87;29;28.0;29;NO
BOOKKEEPER;1;e14618559769b7f3fa68360a4571a84392e162e3;2;11;29;4.179.291.388.827.570;484;360;692;NO;3;28;84;18;17.0;18;NO
BOOKKEEPER;1;3969ff71a1865b5b8c32b60ac529999c6de71ab8;4;28;93;6.332.608.809.094.390;94;2;1039;NO;3;55;84;16;15.0;16;NO
BOOKKEEPER;1;304bf8fe61bd545072d09c7089d8b92fc3c2f1d3;1;1;2;0.0;16;0;494;YES;3;23;84;15;14.0;15;NO
BOOKKEEPER;1;b83d00086a263af5b51e3e061170934c53447976;1;1;1;0.0;0;0;989;NO;3;1;84;14;13.0;14;NO
BOOKKEEPER;1;4be547c861f024e48a7b0074effb8c26ff0a97fc;1;2;2;0.0;336;0;899;NO;3;0;84;28;27.0;28;NO
