Project;Release;Class;Size(LOC);LOC_Touched;NR;NFix;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;Weighted_Age;Actual_Defective
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/common/NoSuchItemException.java;29;29;1;0;1;29;29;29;29;29;29;660;234;82;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/common/NoSuchUserException.java;29;29;1;0;1;29;29;29;29;29;29;660;234;82;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/common/Refreshable.java;44;47;2;0;1;44;38;22;44;38;22;189;136;94;13;0.2765957446808511;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/common/TasteException.java;40;43;3;0;1;41;41;41;40;41;13;603;234;75;36;0.8372093023255814;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/common/Weighting.java;29;29;1;0;1;29;29;29;29;29;29;284;148;40;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/eval/IRStatistics.java;53;53;2;0;1;53;48;26;53;48;26;141;136;70;14;0.2641509433962264;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/eval/RecommenderBuilder.java;39;39;1;0;1;39;39;39;39;39;39;136;136;136;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/eval/RecommenderEvaluator.java;68;68;1;0;1;68;68;68;68;68;68;136;136;136;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/eval/RecommenderIRStatsEvaluator.java;53;56;3;0;1;53;48;26;53;48;17;162;136;54;37;0.6607142857142857;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/ByItemIDComparator.java;36;42;6;0;1;36;34;12;36;34;6;823;234;63;30;0.7142857142857143;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/ItemItemWritable.java;97;113;5;0;1;103;98;34;97;98;19;306;234;61;39;0.34513274336283184;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/ItemPrefWritable.java;73;73;3;0;1;73;70;24;73;70;24;282;234;94;30;0.410958904109589;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/RecommendedItemsWritable.java;104;104;2;0;1;104;102;52;104;102;52;238;234;119;32;0.3076923076923077;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/RecommenderJob.java;109;132;6;0;1;114;100;38;109;100;18;302;234;60;32;0.24242424242424243;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/RecommenderMapper.java;111;119;4;0;1;112;106;37;111;106;27;279;234;69;32;0.2689075630252101;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/ReducerMetrics.java;30;30;1;0;1;30;30;30;30;30;30;360;148;51;0;0.0;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/SlopeOneDiffsToAveragesJob.java;76;82;4;0;1;76;74;38;76;74;19;415;234;103;30;0.36585365853658536;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/SlopeOneDiffsToAveragesReducer.java;47;57;4;0;1;49;48;24;47;48;11;745;234;93;30;0.5263157894736842;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/SlopeOnePrefsToDiffsJob.java;78;88;4;0;1;79;77;39;78;77;19;415;234;103;30;0.3409090909090909;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/SlopeOnePrefsToDiffsMapper.java;48;48;2;0;1;48;47;24;48;47;24;433;234;72;30;0.625;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/hadoop/SlopeOnePrefsToDiffsReducer.java;61;73;5;0;1;63;62;31;61;62;12;419;234;83;30;0.410958904109589;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/ArrayIterator.java;78;78;2;0;1;78;74;39;78;74;39;370;234;185;32;0.41025641025641024;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/BitSet.java;68;84;4;0;1;71;59;23;68;59;17;572;234;71;1;0.011904761904761904;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/Cache.java;115;143;3;0;1;128;127;64;115;127;38;383;234;95;27;0.1888111888111888;YES
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/CompactRunningAverage.java;85;85;2;0;1;85;80;42;85;80;42;370;234;185;32;0.3764705882352941;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/CompactRunningAverageAndStdDev.java;74;74;2;0;1;74;73;37;74;73;37;370;234;185;32;0.43243243243243246;NO
MAHOUT;1;core/src/main/java/org/apache/mahout/cf/taste/impl/common/EmptyIterable.java;44;44;2;0;1;44;43;22;44;43;22;550;234;110;32;0.7272727272727273;NO
