Project;Release;Commit;NS;ND;NF;Entropy;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
MAHOUT;1;e6ee6da3b9b4d0b8cdaa1b0e083a11a0cfafd782;1;3;4;1.8112781244591327;0;0;151;NO;7;71;1064;137;136.0;137;NO
MAHOUT;1;ef577dcf532aaddf1735f3aa1b9bd58c3d3dfb05;2;3;8;0.0;299;5;123;NO;7;0;1043;16;15.0;16;YES
MAHOUT;1;95368a7d4286d236a302cfb2ce203afb2adf3479;1;5;29;3.933098272263356;15;74;514;NO;7;8;1043;136;135.0;136;YES
MAHOUT;1;b2a36644582be4918493f1821fd9593b1f92995a;2;3;4;1.6333420900952849;1;31;503;NO;7;1;1022;146;140.0;146;YES
MAHOUT;1;c247fa9357edf68c4d9932f1dc4110eace208483;2;3;10;2.59013496196469;251;14;490;NO;7;63;987;141;135.0;141;YES
MAHOUT;1;ce91768b58508f308b9415e1600a3753c8d76219;2;3;33;0.0;3610;0;0;NO;7;0;980;13;12.0;13;YES
MAHOUT;1;4e16b527cfce42c54e27db78bcf82da11dc7d025;2;4;5;2.061070888127868;1;8;352;NO;7;127;966;135;134.0;135;NO
MAHOUT;1;cce7bb3123423464b87d86e131f5b2baf6b535ad;1;1;1;0.0;0;0;213;NO;7;140;966;134;133.0;134;NO
MAHOUT;1;db1b3ebe10055325b5c7ee9b6f55ba0cdfcb73bb;1;1;1;0.0;0;0;423;NO;7;37;966;133;132.0;133;NO
MAHOUT;1;4c3897952879450e18840bef4959368b92674a64;1;1;1;0.0;0;11;340;NO;7;0;966;131;130.0;131;YES
MAHOUT;1;d91ba0d7e848f4792bb78b05d5ce2ac5be95a462;2;20;46;4.1580964776852785;94;32;821;NO;7;114;966;130;129.0;130;YES
MAHOUT;1;43a5c740d434d2901eaf0b24c4b1045a26e46405;1;1;3;1.5;40;0;627;NO;7;9;966;129;128.0;129;NO
MAHOUT;1;51b9d94e8b396da5b79beda55fdbe043ebf071c7;1;1;1;0.0;0;0;144;NO;7;56;966;128;127.0;128;YES
MAHOUT;1;2d3c57475c4c190d215850b57c6462c7905c3118;2;7;9;2.3074214158478235;6;0;821;NO;7;114;945;127;126.0;127;YES
MAHOUT;1;821c7d9e8907553b7c846f3816c3df47ae5b04d7;1;1;1;0.0;0;3;61;NO;7;0;945;126;125.0;126;NO
MAHOUT;1;a034755f6872c1f353c903a96dcc00de523664ad;1;8;16;3.3733183070575015;10;42;733;NO;7;37;945;125;124.0;125;YES
MAHOUT;1;445f7d17512a44169df70d8ecbb55f6318c70e79;1;3;4;1.9056390622295662;0;2;308;NO;7;57;945;124;123.0;124;NO
MAHOUT;1;31387558ce02efbad13209af7943eca90a258df7;1;1;1;0.0;0;0;629;NO;7;1;945;123;122.0;123;NO
MAHOUT;1;42820b6da47cd8f66c8f395bc709e16c8c29e385;1;2;3;0.8112781244591328;63;11;640;NO;7;28;945;122;121.0;122;YES
MAHOUT;1;8604a31b33e343931e1eebbd0e0d4e66c58d70c3;1;2;3;0.8683927290103626;1;0;733;NO;7;65;945;121;120.0;121;YES
MAHOUT;1;c98a2ebd27ddca0002f10fb12c1b74ffd2e9a07f;1;2;5;2.2516291673878226;14;5;633;NO;6;87;720;120;119.0;120;NO
MAHOUT;1;7868e51d7b5d59ff93d7d93c60adc53d6bb04960;2;5;5;1.3221793455166668;34;11;636;NO;6;30;714;119;118.0;119;NO
MAHOUT;1;a1fee6f5ae81cf932d8a262576df7aad6d3c30de;2;1;4;0.0;282;282;217;NO;6;78;708;85;83.0;85;NO
MAHOUT;1;e3f80a1ee2c6aa94be0eb183856bf1c1271a67e3;1;3;4;1.9219280948873623;0;0;171;NO;6;92;708;82;80.0;82;YES
MAHOUT;1;120401405cc2154416a1785c282cf58e4b225fad;1;1;1;0.0;0;6;138;NO;6;4;708;118;117.0;118;NO
MAHOUT;1;660fc70aa2280d217d5bd2b823c9d4d3dfddcd80;1;3;3;0.74959525725948;5;1;276;NO;6;17;702;117;116.0;117;NO
MAHOUT;1;23f5202b6e8a5d0468fcc95277d166f38b64aeec;1;1;1;0.0;24;0;157;NO;6;153;696;79;77.0;79;NO
MAHOUT;1;328088678b7f90080150e37d774b6f42e49f7ab9;1;1;1;0.0;3;0;72;NO;6;10;696;116;115.0;116;YES
MAHOUT;1;25217da1dbdba7e722db741aa11f98e86e41784d;2;4;4;0.28639695711595625;56;11;334;NO;6;18;690;115;114.0;115;YES
MAHOUT;1;a036bf518f7eeff363cb35b45208a2b2415ef195;1;2;4;1.532914563979398;2;0;221;NO;6;39;684;114;113.0;114;NO
MAHOUT;1;a13f48fbe092c07261db975c525777522410c6a9;1;1;1;0.0;0;14;348;NO;6;10;678;113;112.0;113;YES
MAHOUT;1;18a586b5285ff95a7eed7e6b07ca60c7b2df91ce;1;1;1;0.0;0;0;109;NO;6;37;672;9;7.5;9;NO
MAHOUT;1;794c3aea496ccf2b6a48467d0fce7d9c97608f11;1;1;1;0.0;25;0;113;NO;6;37;672;8;6.5;8;YES
MAHOUT;1;7cba6c80eb3aaa44c144aabf011929780fe59615;2;12;21;3.75;0;29;453;NO;6;48;666;111;110.0;111;YES
MAHOUT;1;d36507b279bb903e3d3bbef9ae48479eb5e93dd3;1;7;13;3.2523057006640452;61;0;732;NO;6;68;660;110;109.0;110;YES
MAHOUT;1;04b5a4d6491acb0c0101d3bf4cc2eadaadf4eecc;1;1;1;0.0;3;0;345;NO;6;2;654;109;108.0;109;YES
MAHOUT;1;8681219a2b1f6db69bf0b67e9d574f6ac4cca767;1;2;4;0.9798687566511527;43;59;188;NO;6;57;648;108;107.0;108;YES
MAHOUT;1;7b5d4b5de8ec9589f9f0f56bf532fce008f3501e;2;2;2;0.4394969869215134;32;0;313;NO;6;6;642;107;106.0;107;YES
MAHOUT;1;fb482d02254f88cc431670ab5060808eab908395;1;2;3;1.0;19;0;312;NO;6;11;636;106;105.0;106;NO
MAHOUT;1;0d5586e22938d4bc5de5746ead2dc9575945b3c6;1;1;5;0.0;163;6;200;NO;6;0;630;105;104.0;105;YES
MAHOUT;1;28d8b152e15f74699ad2ddc7b7e856d1f5b78ccf;1;1;4;0.0;268;3;203;NO;6;0;624;104;103.0;104;YES
MAHOUT;1;ac34e851136dfc17efc55aa6af1917dbd4129cd2;1;1;1;0.0;1;0;202;NO;6;0;618;103;102.0;103;NO
MAHOUT;1;0dece127488fd13393770e7c78b62a6903bdffad;1;1;2;0.0;271;0;0;NO;6;0;612;102;101.0;102;YES
MAHOUT;1;8a854b4c9bcce43bd87edb6b3574d2f27633a933;1;1;1;0.0;0;0;256;NO;6;3;606;7;6.0;7;NO
MAHOUT;1;5e56d973e947c216d0a5dd06b0af1c5fdfba8ad5;2;11;18;3.192151477780812;2;11;524;NO;6;17;606;101;100.0;101;YES
MAHOUT;1;b9b837c4ee8f408710dbbfdf35806489d8385dde;1;5;7;1.0;2;11;310;NO;6;18;600;100;99.0;100;YES
MAHOUT;1;03795b0397655d29be4a54bf91432450ccb6de6f;2;5;7;1.0;856;0;308;NO;6;1;594;99;98.0;99;YES
MAHOUT;1;81d77f722c82617626f94b9a51bc59bb2f37890f;1;1;1;0.0;0;1;82;NO;6;0;588;98;97.0;98;YES
MAHOUT;1;64daaa4b3badd6e6db8fbbfd50d0033cf0728656;1;1;4;0.0;251;0;0;NO;6;0;582;97;96.0;97;YES
