Project;Release;Class;Size(LOC);LOC_Touched;NR;NFix;NAuth;LOC_Added;MAX_LOC_Added;AVG_LOC_Added;Churn;MAX_Churn;AVG_Churn;ChgSetSize;MAX_ChgSet;AVG_ChgSet;Age;Weighted_Age;Actual_Defective
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java;212;215;4;0;2;212;211;106;212;211;53;1492;945;373;3;0.013953488372093023;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java;257;259;3;0;2;257;257;257;257;257;85;1409;945;469;3;0.011583011583011582;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java;148;151;4;0;2;148;147;74;148;147;37;1492;945;373;3;0.019867549668874173;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java;50;50;3;0;1;50;49;25;50;49;16;1395;945;465;1;0.02;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java;603;624;3;0;2;609;609;609;603;609;201;1465;945;488;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java;873;957;7;0;3;903;900;451;873;900;124;1488;945;248;3;0.003134796238244514;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java;52;57;3;0;2;52;50;26;52;50;17;1465;945;488;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java;58;58;2;0;1;58;58;58;58;58;29;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java;158;158;2;0;1;158;158;158;158;158;79;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java;61;69;3;0;1;65;65;65;61;65;20;1414;945;471;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java;135;135;2;0;1;135;135;135;135;135;67;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java;189;189;2;0;1;189;189;189;189;189;94;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java;376;428;3;0;1;384;384;384;376;384;125;1399;945;466;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java;259;279;4;0;2;262;262;262;259;262;64;1472;945;368;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ConnectionInfo.java;32;32;2;0;1;32;32;32;32;32;16;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/DelegatingJDBCFetchConfiguration.java;243;244;4;0;2;243;233;81;243;233;60;1603;945;400;1;0.004098360655737705;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/EagerFetchModes.java;42;42;2;0;1;42;42;42;42;42;21;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Abs.java;46;64;3;0;2;54;54;54;46;54;15;3212;945;535;4;0.0625;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AbstractVal.java;75;86;5;0;2;75;61;25;75;61;15;1646;945;329;4;0.046511627906976744;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Aggregate.java;193;224;6;0;2;193;192;96;193;192;32;1663;945;277;4;0.017857142857142856;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/All.java;34;34;2;0;1;34;34;34;34;34;17;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/AndExpression.java;91;104;4;0;2;91;91;91;91;91;22;1620;945;405;4;0.038461538461538464;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Any.java;34;34;2;0;1;34;34;34;34;34;17;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Args.java;180;203;4;0;2;180;178;90;180;178;45;1620;945;405;4;0.019704433497536946;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Avg.java;41;42;3;0;2;41;41;41;41;41;13;4292;945;429;4;0.09523809523809523;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableAndExpression.java;79;90;4;0;2;79;79;79;79;79;19;1620;945;405;4;0.044444444444444446;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableExpression.java;80;90;4;0;2;81;81;81;80;81;20;1620;945;405;4;0.044444444444444446;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareEqualExpression.java;134;151;4;0;2;134;134;134;134;134;33;1620;945;405;4;0.026490066225165563;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CompareExpression.java;101;116;4;0;2;101;101;101;101;101;25;1620;945;405;4;0.034482758620689655;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Concat.java;174;204;5;0;2;174;171;87;174;171;34;1637;945;327;4;0.0196078431372549;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Const.java;204;249;5;0;2;211;211;211;204;211;40;1637;945;327;4;0.01606425702811245;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstGetObjectId.java;83;88;3;0;2;83;83;83;83;83;27;1530;945;510;1;0.011363636363636364;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstInstanceofExpression.java;76;88;4;0;2;77;77;77;76;77;19;1620;945;405;4;0.045454545454545456;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ConstPath.java;185;190;4;0;2;185;178;92;185;178;46;1620;945;405;4;0.021052631578947368;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsExpression.java;62;70;3;0;2;66;66;66;62;66;20;1482;945;494;4;0.05714285714285714;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ContainsKeyExpression.java;46;46;2;0;1;46;46;46;46;46;23;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Count.java;55;58;4;0;2;56;56;56;55;56;13;4382;945;398;4;0.06896551724137931;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/CurrentDate.java;70;73;3;0;2;70;70;70;70;70;23;1530;945;510;1;0.0136986301369863;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Distinct.java;45;53;3;0;2;49;49;49;45;49;15;4292;945;429;4;0.07547169811320754;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EmptyExpression.java;55;66;4;0;2;57;57;57;55;57;13;1620;945;405;4;0.06060606060606061;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EndsWithExpression.java;202;224;4;0;2;202;202;202;202;202;50;1620;945;405;4;0.017857142857142856;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/EqualExpression.java;75;83;3;0;2;75;75;75;75;75;25;1530;945;510;1;0.012048192771084338;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Exp.java;72;97;4;0;2;83;83;83;72;83;18;1620;945;405;4;0.041237113402061855;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Extension.java;237;274;6;0;2;237;232;79;237;232;39;1663;945;277;4;0.014598540145985401;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValue.java;103;103;2;0;1;103;103;103;103;103;51;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/FilterValueImpl.java;101;106;3;0;2;101;101;101;101;101;33;1530;945;510;1;0.009433962264150943;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetColumn.java;80;80;2;0;1;80;80;80;80;80;40;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java;213;213;1;0;1;213;213;213;213;213;213;1643;945;273;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetObjectId.java;182;209;4;0;2;184;184;184;182;184;45;1620;945;405;4;0.019138755980861243;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/HasContainsExpressionVisitor.java;30;36;2;0;1;30;29;15;30;29;15;116;90;58;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IndexOf.java;165;196;5;0;2;166;163;83;165;163;33;1637;945;327;4;0.02040816326530612;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InExpression.java;175;198;5;0;2;176;176;176;175;176;35;1642;945;328;4;0.020202020202020204;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InKeyExpression.java;44;44;2;0;1;44;44;44;44;44;22;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InstanceofExpression.java;153;166;6;0;2;154;154;154;153;154;25;1718;945;286;4;0.024096385542168676;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InSubQExpression.java;79;94;4;0;2;79;79;79;79;79;19;1620;945;405;4;0.0425531914893617;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/InValueExpression.java;44;44;2;0;1;44;44;44;44;44;22;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsEmptyExpression.java;71;85;4;0;2;72;72;72;71;72;17;1620;945;405;4;0.047058823529411764;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/IsNotEmptyExpression.java;71;84;4;0;2;72;72;72;71;72;17;1620;945;405;4;0.047619047619047616;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCAggregateListener.java;42;42;2;0;1;42;42;42;42;42;21;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java;449;488;7;0;3;457;450;152;449;450;64;1674;945;239;4;0.00819672131147541;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCFilterListener.java;44;44;2;0;1;44;44;44;44;44;22;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCPath.java;29;29;2;0;1;29;29;29;29;29;14;3776;945;472;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCStringContains.java;53;56;3;0;2;54;54;54;53;54;17;1482;945;494;4;0.07142857142857142;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCWildcardMatch.java;58;61;3;0;2;59;59;59;58;59;19;1482;945;494;4;0.06557377049180328;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java;87;91;3;0;2;87;87;87;87;87;29;3325;945;554;1;0.01098901098901099;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/MatchesExpression.java;133;147;4;0;2;133;133;133;133;133;33;1620;945;405;4;0.027210884353741496;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Math.java;166;193;5;0;2;166;163;83;166;163;33;1637;945;327;4;0.02072538860103627;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Max.java;41;42;3;0;2;41;41;41;41;41;13;4292;945;429;4;0.09523809523809523;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Min.java;41;42;3;0;2;41;41;41;41;41;13;4292;945;429;4;0.09523809523809523;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotContainsExpression.java;85;98;4;0;2;86;86;86;85;86;21;1620;945;405;4;0.04081632653061224;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotEqualExpression.java;76;84;3;0;2;76;76;76;76;76;25;1530;945;510;1;0.011904761904761904;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/NotExpression.java;72;84;4;0;2;73;73;73;72;73;18;1620;945;405;4;0.047619047619047616;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Null.java;53;56;3;0;2;53;53;53;53;53;17;4404;945;440;1;0.017857142857142856;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/OrExpression.java;107;120;4;0;2;107;107;107;107;107;26;1620;945;405;4;0.03333333333333333;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Param.java;117;121;3;0;2;117;117;117;117;117;39;1530;945;510;1;0.008264462809917356;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/PCPath.java;680;708;7;0;2;681;633;136;680;633;97;1665;945;237;4;0.005649717514124294;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SelectConstructor.java;344;407;9;0;2;357;352;119;344;352;38;1716;945;190;4;0.009828009828009828;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Size.java;57;64;4;0;2;58;58;58;57;58;14;1620;945;405;4;0.0625;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLEmbed.java;68;71;3;0;2;69;69;69;68;69;22;1482;945;494;4;0.056338028169014086;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLExpression.java;38;38;2;0;1;38;38;38;38;38;19;3776;945;472;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SQLValue.java;36;36;2;0;1;36;36;36;36;36;18;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sqrt.java;41;41;2;0;1;41;41;41;41;41;20;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StartsWithExpression.java;266;287;4;0;2;266;266;266;266;266;66;1620;945;405;4;0.013937282229965157;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringFunction.java;140;164;5;0;2;140;138;70;140;138;28;1637;945;327;4;0.024390243902439025;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/StringLength.java;61;61;2;0;1;61;61;61;61;61;30;3187;945;637;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/SubQ.java;222;298;5;0;2;238;238;238;222;238;44;1637;945;327;4;0.013422818791946308;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Substring.java;160;191;5;0;2;161;158;80;160;158;32;1637;945;327;4;0.020942408376963352;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Sum.java;51;52;3;0;2;51;51;51;51;51;17;3213;945;535;4;0.07692307692307693;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToLowerCase.java;49;49;2;0;1;49;49;49;49;49;24;3187;945;637;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/ToUpperCase.java;49;49;2;0;1;49;49;49;49;49;24;3187;945;637;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Trim.java;199;226;5;0;2;199;196;99;199;196;39;1637;945;327;4;0.017699115044247787;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/UnaryOp.java;166;204;6;0;2;173;171;86;166;171;27;1663;945;277;4;0.0196078431372549;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Val.java;156;179;4;0;2;161;161;161;156;161;39;1620;945;405;4;0.0223463687150838;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Variable.java;192;211;4;0;2;192;188;96;192;188;48;1620;945;405;4;0.018957345971563982;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/GenericResultObjectProvider.java;126;131;4;0;2;127;127;127;126;127;31;1603;945;400;1;0.007633587786259542;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/InstanceResultObjectProvider.java;58;61;3;0;2;58;58;58;58;58;19;1530;945;510;1;0.01639344262295082;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory.java;168;169;3;0;2;168;168;168;168;168;56;1465;945;488;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfiguration.java;172;174;4;0;2;172;164;57;172;164;43;1603;945;400;1;0.005747126436781609;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCFetchConfigurationImpl.java;322;424;7;0;3;327;285;81;322;285;46;1636;945;272;1;0.0023584905660377358;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCLockManager.java;46;46;2;0;1;46;46;46;46;46;23;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCSeq.java;38;38;2;0;1;38;38;38;38;38;19;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStore.java;96;117;4;0;2;106;106;106;96;106;24;1555;945;388;4;0.03418803418803419;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java;1383;1808;10;0;3;1471;1458;294;1383;1458;138;1603;945;229;4;0.0022123893805309734;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreQuery.java;628;734;6;0;2;636;636;636;628;636;104;1565;945;260;4;0.005449591280653951;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/LRSSizes.java;43;43;2;0;1;43;43;43;43;43;21;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/MappedQueryResultObjectProvider.java;455;468;3;0;2;457;457;457;455;457;151;1530;945;510;1;0.002136752136752137;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/NativeJDBCSeq.java;360;382;3;0;2;369;369;369;360;369;120;1417;945;472;4;0.010471204188481676;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/OperationOrderUpdateManager.java;217;217;2;0;1;217;217;217;217;217;108;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PagingResultObjectProvider.java;441;460;4;0;3;445;445;445;441;445;110;1554;945;388;1;0.002173913043478261;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java;177;177;2;0;1;177;177;177;177;177;88;1392;945;696;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java;44;44;2;0;1;44;44;44;44;44;22;4266;945;474;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java;127;142;4;0;1;129;129;129;127;129;31;1482;945;370;2;0.014084507042253521;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ProjectionResultObjectProvider.java;70;75;3;0;2;70;70;70;70;70;23;1530;945;510;1;0.013333333333333334;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java;156;178;3;0;2;166;166;166;156;166;52;1530;945;510;1;0.0056179775280898875;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java;128;130;3;0;1;129;129;129;128;129;42;1414;945;471;0;0.0;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java;257;272;4;0;2;263;263;263;257;263;64;1491;945;372;4;0.014705882352941176;NO
OPENJPA;1;openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java;625;628;4;0;1;625;625;625;625;625;156;1475;945;491;2;0.0031847133757961785;NO
